interview_id,turn_idx,speaker,role,round,asap_year,word_count,label,label_notes,turn_text
150459,1,NICK NURSE,coach,Finals,2019,81,NEUTRAL,"Analytical about foul calls, no strong valence","Well, I got to look at them. I know, one, he's a great charge-taker, right, and I know one of them was possibly a charge, block/charge and those are tough, they go each way. But maybe that sixth one, I didn't really see it in the game. So in the back court, probably 80 feet or so from the basket, those are ones you got to be careful, especially when you got five. But I'll need to look at that first."
176979,5,STEVE KERR,coach,Finals,2022,108,POSITIVE,Full confidence player will bounce back; optimistic,"It's a game where he didn't really get into rhythm. You give Boston the credit, again, that they deserve. They are the No. 1 defense in the league. They did a good job on him, staying physical with him. Then you see the tape and you realize, okay, we could do this, we could do that, and you make some adjustments. But ultimately you trust that like any player who has made the impact that he has, you trust that there's going to be some ups and downs. I thought it was a tough night for him, but I have full confidence that tomorrow will be much better."
167117,2,MIKE BUDENHOLZER,coach,Finals,2021,33,POSITIVE,Playful and warm: 'It's great. It's a lot of fun',"No, if he gets me, I don't know what it will be. He has got some different ones he draws up and writes the numbers down. It's great. It's a lot of fun."
167777,8,MIKE BUDENHOLZER,coach,Finals,2021,123,NEUTRAL,Social awareness commentary; ends with 'excited about finishing strong' but dominantly informational,"Yes. We've had some conversations. We've actually had conversations throughout the entire season, like you've referenced. The start of the Playoffs, as you've gone from round to round and just within the last two, three, four days. , we are aware. We live in this world. Whether it's all 50 states going up or things that are happening closer to us at home. I think all the players, I think they're locked in, being safe, being healthy. Hoping for the best for everybody around us and our country. But, yeah, there's a real push to stay safe, to stay healthy, to be vigilant. Both teams, we're very, very close to the finish. We're excited about finishing this strong. FastScripts Transcript by ASAP Sports"
89660,10,ERIK SPOELSTRA,coach,Finals,2013,211,POSITIVE,Extended praise of LeBron's evolution as a player,"Â I didn't coach him, so I'll have to just go off recall.Â That wouldn't be terribly accurate for me to comment right now, especially because I haven't seenit.Â I saw that series then.Â But that's so many years ago.Â We were more disappointed‑‑ we won the title the year before, and we didn't have an opportunity to play for it that year.Â We were so disappointed about that.Â We wanted to face the Spurs. LeBron's game has evolved tenfold just since his time that he's been here in Miami, and that I can speak to.Â The evolution of all the different aspects of his game, in the post, his pick‑and‑roll game both ways, where he's handling it and now he's a screener, more movement, less isolation basketball, playing within a system, and certainly his shooting has improved dramatically.Â You don't shoot about 55% as a perimeter player unless some things are working.Â You're taking the right shots, but you're also have improved your mid‑range and three‑point shooting, knowing that everybody is going to try to get you to take that.Â Keeping teams honest enough with that, but still being able to get to the rim.Â And be able to orchestrate an offense where he scores and facilitates just as equally."
160597,6,ERIK SPOELSTRA,coach,Finals,2020,96,POSITIVE,"Strong praise: 'He is a winner, a leader, a supreme competitor'","Jimmy has a superstar competitive spirit to him. If you try to evaluate him or put him in a conventional box of how you view a modern-day basketball player, you're totally missing the boat on JB. He is a winner, he is a leader, he is a motivator, a mentor and just a supreme competitor. And when you get to this level, I think so many people forget about that, the competition and what you can bring out of an entire franchise when you're wired to that level of fierce competitiveness. FastScripts Transcript by ASAP Sports"
177118,8,STEVE KERR,coach,Finals,2022,135,POSITIVE,Celebrates 'beauty of the game' and mutual excellence in competition,"Yeah, that's kind of the beauty of the game. It's a five-man game and players have to work together, and when there's a rhythm and a flow to the game and a group gets going, there's a real feeling, a real beauty to it. It's not easy to do in the Playoffs when you're playing the best defensive teams and the game is at its most physical. But at the same time, your opponent brings out the best in you. When you play the best, it forces you to be your best, and I think we've seen stretches in the first two games where both teams have really been playing at a high level, and that's the whole idea -- competition, two teams bringing the best out in one another. FastScripts Transcript by ASAP Sports"
99829,3,GREGG POPOVICH,coach,Finals,2014,55,NEUTRAL,Tactical rationale for lineup choice; matter-of-fact,"Â Well, Boris is a good, all‑around basketball player, so he can do several things at both ends of the court.Â And we thought that we probably would need that just to have the best opportunity to play good basketball.Â He allows us to have more variety in our offense, and he's an underrated defender."
99413,2,ERIK SPOELSTRA,coach,Finals,2014,46,POSITIVE,Mildly optimistic: 'He has a great way of figuring it out',"Â We'll see.Â He has a great way of figuring it out.Â If that's the scheme, then we have to find a way to conquer it.Â If it's making open shots, there is a lot worse problems you can have, especially at this level of competition."
167918,1,MONTY WILLIAMS,coach,Finals,2021,73,POSITIVE,"Team is focused, locked in, not tight - expressing confidence in team state","Focused. But not tight or anything like that. They're just focused. We have had good practices and workouts since the beginning of the playoffs. Every level we have gotten to it's just gotten more heightened with the stakes, but the focus continues to grow. , this is the deal, so to speak. Our guys are locked into the game plan, but also I don't think they're tight at all or anything like that."
167204,4,MONTY WILLIAMS,coach,Finals,2021,166,POSITIVE,"Post-win analysis; player had a balanced, strong game","Well, I think tonight anyway he recognized once he started making shots and they ran him off the line, he was getting to his spot. Sometimes he would get close to the basket but he would get to a spot where he can make that seven, eight-foot jump shot. He's been doing that all year, it's just that everybody's seeing it now. But I thought he had balance tonight, he wasn't just taking shots, contested shots, even though he could have, because he's long, when they ran him off the line he was getting to the basket and I think the other side of it is when DA's low, you can't leave him and so that allows for Mikal to get to his spot and the big can't help. So, I think DA generates a lot of offense for us because he offensive rebounds so well that the help defense at times can't come help on our guys when they drive and shoot those mid-range shots."
140491,3,TYRONN LUE,coach,Finals,2018,56,NEGATIVE,Acknowledges tough loss: 'our guys were disappointed about the loss',"No explanation. , it's a tough call. We understand that. But now we've got to bounce back and be ready to go for Game 2. Our guys were disappointed about the loss, but it's behind us now. Now we've got to focus on what we did well and carry that into Game 2 and play better."
150937,0,STEVE KERR,coach,Finals,2019,68,NEGATIVE,Devastated about Kevin Durant injury despite win: 'I'm just devastated',"I don't think that I can, honestly. I just told the team I didn't know what to say because on the one hand I'm so proud of them, just the amazing heart and grit that they showed, and on the other I'm just devastated for Kevin. So it's a bizarre feeling that we all have right now. An incredible win and a horrible loss at the same time."
176907,4,STEVE KERR,coach,Finals,2022,57,NEUTRAL,Film-study plan; mildly positive ending but mostly analytical,"We'll watch the tape and see what we need to do. I thought Boston did a good job on Jordan. Put a lot of pressure on him. There's probably some things that we can do to help free him up. And then, , he's a hell of a player. So he'll bounce back and play better, too."
89740,5,ERIK SPOELSTRA,coach,Finals,2013,49,NEUTRAL,"Tactical: 'whatever it takes' - strategic framing, no clear valence","Â Whatever it takes.Â That's my deal with LeBron.Â He understands.Â It's one through five.Â Depending on the matchup, wherever we need it, we have 14 days left, whatever it takes.Â And at this point you weigh the risk‑reward.Â But whatever we feel is best at that appropriate time."
119313,14,DWANE CASEY,coach,ECF,2016,89,NEGATIVE,Analyzing stretches of poor play that cost them the game,"Well, I think the mental toughness of the group. That's why us -- again, I'm not saying we're not competing. We had stretches where we don't compete, which shoots us in the foot. Like last night, they beat us by two in the first quarter, three in the third quarter, and two in the fourth quarter, but they get us by eight, and 12 in the second quarter. So the stretch in the second quarter, we've got to cut down on those stretches where we don't get it done."
119313,7,DWANE CASEY,coach,ECF,2016,68,NEUTRAL,"Injury recovery update; cautiously watchful, informational","His progression is coming. He's on the court. Alex McKechnie and the staff is doing an excellent job of getting him back up to speed and working with it and getting the flexibility in the ankle. , it's coming along. But we're not going to rush it back just to -- is it something that you could do further damage to it if you rush back too quick."
129802,6,BRAD STEVENS,coach,ECF,2017,100,NEUTRAL,Rotation options analysis; no emotional content,"I think we've been double bigs a lot when we've played some of our best basketball this year, and then there have been moments where we weren't able to do it and we had to go small. But usually we have at least one, sometimes two bigs, when we are double bigs that can both shoot threes. Today I felt like it was more advantageous to go small later. I don't know how much you can glean from that third and fourth quarter, but we'll look at all those options and try to figure out what our best avenue is."
119383,0,TYRONN LUE,coach,ECF,2016,43,NEUTRAL,Giving tactical credit to opponent defense; analytical,"Yes, they've done a great job of just closing out and running us off the three-point line, and also just stunting and staying at home. That's giving Kyrie [Irving] and LeBron [James] a chance to get downhill and score points in the paint."
150028,5,MIKE BUDENHOLZER,coach,ECF,2019,185,POSITIVE,"Highly positive on Middleton: 'making great decisions, really impactful'","He's certainly incredibly important to us. He's a great shooter. He can impact the game and do a lot of things. As I reflect on it and watch the tape and even just look at the box score, he's got 10 assists. The usage or the involvement, the impact that Khris was having, I think we can't just look at nine shots. I'm not sure if he's had 10 assists in a game this year, to be honest with you. [Middleton had 10 assists one time in the regular season.] It's got to be near the top of his assists. The ball is in his hands. He's making great decisions. He's doing things that are really positive and really impactful. Would we love to get him a few more threes, maybe a few more shots? Yes. But I think the way he's passing and reading the situations and really looking at the film -- Giannis very similarly. I think Giannis is passing and sharing in a really good way. As always, we'd like to get better. So we'll see if there's ways we can help."
149626,7,STEVE KERR,coach,WCF,2019,80,POSITIVE,Enthusiastic admiration of opposing stars; 'as good as it gets',"I'd much rather watch these guys than coach against them. They're amazing. They're tough to guard. We've seen them a couple times in the Playoffs over the last few years, and so we know how difficult the challenge is. From a fan standpoint, this is as good as it gets, between Steph, Klay, Damian and CJ. All great players going head to head. It's going to be entertaining. But we've got to find a way to slow those guys down."
140190,7,STEVE KERR,coach,WCF,2018,124,NEUTRAL,Stoic philosophical take on playoff adversity; no strong positive/negative,"I don't know about the Celtics in the '60s, I was either not born or too small to know. But I do know from my own experience in the NBA, this is how the playoffs go. It's supposed to feel hard. It's supposed to feel difficult. Stuff happens. You get injuries, suspensions, things happen, and you just have to play through everything. There are no excuses at the end. If you win, you celebrate, and you don't worry about what happened to the other team; and if you lose, you're bummed out. But you don't sit there and say, If this had happened or that had happened. None of that matters. You just go and compete, and that's what we're going to do tonight."
159896,0,FRANK VOGEL,coach,WCF,2020,53,POSITIVE,Praises LeBron's defensive effort and decision to take on tough assignment,"LeBron asked for the assignment and I granted it. He did a great job down the stretch trying to contain him one-on-one. Murray had a great night. Nothing was really working in terms of trying to slow him down until LeBron took that assignment. Game ball to him, I guess, for that move."
119625,6,STEVE KERR,coach,WCF,2016,34,POSITIVE,Strong confidence: 'This is a championship team. This is exactly what I expected',"No, I knew how we would play. This is a championship team. They've been through a lot the last couple of years, always responded well from adversity, and this is exactly what I expected."
119646,9,STEVE KERR,coach,WCF,2016,35,POSITIVE,"After a strong performance: 'we played better, more focused, more locked in'","We changed our matchups a little bit, but mainly we just played better. We were more focused, more locked in, tougher, and we're going to have to be better tomorrow night on their home floor."
140383,1,LARRY NANCE,player,Finals,2018,86,POSITIVE,"Defiant confidence: 'we have a chance to win a ring, we've done what it takes'",", you hear it. You can't turn on ""SportsCenter"" or ESPN without it. But at the same time, everybody that's saying that is not playing in the NBA Championship. So feel free to judge us, make comments on us and do whatever else you'd like. But , we have a chance to win a ring. We've done what it takes to get this far, and we'll continue doing exactly what we're required to and what we need to to hopefully get four wins in this series."
130566,3,KEVIN DURANT,player,Finals,2017,79,NEUTRAL,Tactical explanation of defensive role shift; no emotional charge,"No, , it's -- when you go small a lot, you're forced to play underneath the basket more. So if we didn't play as small, maybe I would just be on the perimeter more, guarding guys. But we're playing smaller and we're playing Draymond at the five more, and it's forcing me to guard bigger guys. And I just try to -- I got to fight a little harder now than I did before. FastScripts Transcript by ASAP Sports"
160130,10,TYLER HERRO,player,Finals,2020,70,NEUTRAL,Mixed: won but 'backs still against the wall' - resilient but under pressure,"Key to tonight was coming out hard with a lot of focus and energy. We knew it wasn't going to be easy and the next games we play aren't going to be easy either. And they're going to come with a lot more energy themselves, they're going to make some adjustments and it's all about how you respond. our backs are still against the wall and we got to respond."
160069,6,ANTHONY DAVIS,player,Finals,2020,233,POSITIVE,Encouraging and optimistic: 'we know those shots are going to fall for us',"It's tough because we are open a lot. They want you to shoot the three, and our shooters were a little bit off tonight. But we hit some big threes to kind of keep that lead. We are doing a good job of getting in the teeth of the zone and finding guys. We're going to continue to encourage our guys to shoot those shots. If you're open, there should be no hesitation whether you should shoot the three or not, no matter if you're 0-for-10 or 0-for-whatever. You want you to keep shooting because we know those shots are going to fall for us. When we get it in the middle of the zone -- this team likes to run zone, so when we get in the middle, it's about making the right read. Myself, Bron and Rondo, we're usually in the middle of the zone and we're either going to find out shooters or have layups or find a guy that's going baseline to baseline. So when we get in the middle, it kind of open things up for us. It really opens up when our guys are making shots. We are going to continue to encourage the guys to shoot, whether you miss four or five in a row. We have to make them honor that shot, and they are going to fall for us. FastScripts Transcript by ASAP Sports"
89669,5,RAY ALLEN,player,Finals,2013,61,NEUTRAL,Adjusting to new teammates' passing nuances; observational,"Â It is.Â It is.Â Because even when I pass the ball, my ball doesn't have as much fire behind it.Â You just get used to it, because D‑Wade is different.Â Rio is different.Â And it's really when‑‑ getting on the team, I have to learn those nuances of different players when they pass the ball, and how they pass it."
130655,4,KEVIN LOVE,player,Finals,2017,119,POSITIVE,"Positive post-win: 'we took it to them first, that was very telling'","Sure. I think that's probably a -- it's not like a something we put on the board or something that we -- what do you call it? Board material, that sort of thing. We just -- we knew we had to make it physical. We knew that's part of who we are, but I feel like we say that every game. But tonight we kind of -- we took it to them first, and that was very telling for the rest of the game. We felt like that got -- and then playing very physical, there were a lot of fouls on both sides, but that's part of it. We feel like that should be part of the game."
177230,3,ANDREW WIGGINS,player,Finals,2022,53,POSITIVE,Strong praise for Steph: 'He's going to go out there and dominate',"To be honest, as soon as he steps on the court, I just think Steph's going to be Steph, , regardless of who we are playing or how he's feeling. I feel like if he steps on the court, he's ready. He's going to go out there and dominate like he did tonight."
130361,6,TRISTAN THOMPSON,player,Finals,2017,37,NEUTRAL,Dismissive/unbothered about media narrative; 'We're the champs' opener but overall neutral,"We're the champs. I never know (indiscernible). It is what it is. It makes it good for TV, gets you more hits and views. So I'm good with whatever. However you guys eat, that's fine with me."
140636,4,KEVIN LOVE,player,Finals,2018,128,NEGATIVE,"Self-critical: 'I've had shots I should have knocked down, I have to be better'","Oh, I think still have to be better. I've had a number of shots not only in Game 1 but in Game 2 as well that I felt I should have knocked down. Defensively they're the type of team -- even there were times when they missed the shot as well, but being a big and playing against this team and switching like we have been, and if you take that one second off or you stand up for that split second, they're so good at cutting off the ball or finding themselves open in transition. So I know it's not just myself, but I expect a lot of myself out there, and I know I have to be better come Game 3. FastScripts Transcript by ASAP Sports"
177057,2,GARY PAYTON II,player,Finals,2022,45,POSITIVE,Won a must-win: 'one of those big nights that everybody responded',"Absolutely. We knew our backs were against the wall. We couldn't go into Boston being down 2-0. He lit the fire under us, as this whole season. He lights it and everybody else follows, and tonight was one of those big nights that everybody responded."
110192,2,ANDRE IGUODALA,player,Finals,2015,152,POSITIVE,Competitive confidence: 'we want to make our stamp on the game',"Â We\'ve got a lot of great players in this league that can score the ball in bunches.Â , it\'s like 10 or 15 guys in this league.Â I\'ve had a chance to guard all of them.Â I\'ve been doing it for a long time. The thing that makes him dynamic is he\'s probably one of the smartest and best passer out of all the scorers, which really makes him dynamic. But the foundation is the same.Â Make him work as hard as possible.Â Make him take tough shots. Â You look at his strengths, his weaknesses, which way he wants to go, which way he prefers to play, and you try to just take him out of his comfort zone.Â Sounds easier said than done, but we all have a lot of talent on the court, and when we go out there, we want to make our stamp on the game."
167887,14,DEVIN BOOKER,player,Finals,2021,91,POSITIVE,Passionate about city and the historic opportunity; warm and enthusiastic,", this is something I always say: It's a basketball town. This city loves the Phoenix Suns, and it comes with that rich history. People have generated memories that are going to last them a lifetime. I think that's the beauty of sport in whole. You can get behind something, rally behind it. This city has been wanting a NBA championship for a really long time and has been really close multiple times. Just understanding that and understanding what's at stake, this city means a lot. FastScripts Transcript by ASAP Sports"
177120,7,ROBERT WILLIAMS,player,Finals,2022,32,POSITIVE,Resilient after withstanding runs: 'we did a good job of it',"Take the hits, keep fighting. , they're a great team that goes on runs, a lot of runs, but just withstanding the hit. I think we did a good job of it."
130611,6,KYRIE IRVING,player,Finals,2017,186,POSITIVE,"Philosophical confidence and resilience: 'if I stay true to who I am, everything will work out'","By just tunneling in some grit and understanding that belief that you have in yourself and your teammates and your coaching staff; that regardless of how big the moment is, , you have to trust everything that you've worked on and everything you've put into this game. It may not always come out as a success, but most people will never even think about taking that shot, because they would concede to being fearful of those moments. Some moments are disappointing. Some moments are just exuberant; they're just awesome. But you have to be able to live with both and you have to be able to live with those decisions. So the creativity and having that confidence, it's unwavering, man, forever. It can't change. But if you do get on a disappointing end, then how you respond and how you are in those next moments will really dictate who you are. So I try to keep that same mindset going forward -- that if I stay who I am and stay true to who I am, then everything will work out. FastScripts Transcript by ASAP Sports"
130380,11,IAN CLARK,player,Finals,2017,108,NEUTRAL,Difficult situation (missing coach/player) but they got rolling; balanced,"For the most part he's still around us, so it's kind of, it's difficult not having him on the floor, on the sidelines, but he's still in the locker room, he's still in practices, so being able to still hear his voice I think is still encouraging for us. I'm pretty sure the coaching staff are all on the same page with the game plans and everything like that. So it was difficult at first, but once we got rolling, it's still basketball. He told us not to worry about him, we go out and still do our jobs and perform and that's what we've tried to do."
176198,8,JAYSON TATUM,player,ECF,2022,86,POSITIVE,Genuine praise for teammate's growth and clutch play,"What we said to each other, I've got to keep that between us. But Grant is just -- he just came a long way from his first year, and in that situation I think we got a steal or something and they kicked it ahead to him. He's worked on his game, and he's developed into somebody that we believe and trust in to catch it at half court, he sees an opening, take it to the hole, make the right play. That's what he did."
89422,3,GEORGE HILL,player,ECF,2013,70,NEGATIVE,Acknowledging opponent 'clicking on all cylinders' and own defensive failure,"Â I don't remember it now.Â I went to sleep.Â I had some Nyquil and stuff.Â I really don't remember the 70 points. Â That's not our defense.Â Everyone knows that. I just feel like they were clicking on all cylinders last night, and it made it very tough for us.Â But again, we have to come together as a team, buckle down and kind of take their rhythm away."
109171,14,KENT BAZEMORE,player,ECF,2015,47,NEGATIVE,Implied effort deficit: 'we've got to want it more',"Â We've got to play hard.Â We've got to want it more.Â They moved us around a little bit.Â They were a little bit more physical last night, and we've just got to figure out the physicality, especially this time of year. FastScripts Transcript by ASAP Sports"
89427,0,UDONIS HASLEM,player,ECF,2013,96,POSITIVE,"Confident about role execution: 'I was called upon to make shots, and I made them'","Â I just do what I'm called upon to do.Â I don't take very many shots.Â Sometimes it's not about shots for me.Â Sometimes it's about defensive rebounding. I took seven shots in the first two games, about three and a half shots per game.Â It's really unfair to judge off that.Â There's other ways you can impact the game. Last night I was called upon to make shots, and I made them.Â The other night it might have been a different role I might have to play.Â People just have to get used to that."
159909,5,JAYSON TATUM,player,ECF,2020,51,POSITIVE,Improved second half; 'feeling good about ourselves',"Yeah, , I think we competed. I just don't think our communication was that great in the first half. I think we just took it up a level in the second half on the defensive end. That led to us getting good looks, feeling good about ourselves, and guys getting shots."
119446,0,STEPHEN CURRY,player,WCF,2016,111,NEGATIVE,"Post-loss analysis: 'weren't as tight', 'weren't very good on the defensive end'","We just weren't as tight as a complete unit. , that game plan, like you said, it's been effective, and Roberson hit, I think two threes in the first half, but that didn't kill us. It was more just their offense didn't allow our defense to get set. Took a lot of quick shots that didn't go in and gave them that advantage in transition. We just didn't handle their runs very well because of that. So we've got to look at the film, , to figure out why we weren't very good on the defensive end when it comes to rotations and things like that. But there's always next game."
149630,0,DAMIAN LILLARD,player,WCF,2019,121,NEGATIVE,Opponent defense was effective: 'I thought they were successful at that',"I think they gave a lot of attention to the ball when I was coming off screens. Even when I was in isolation situations, I was seeing two and three people. I think that was obvious, , that they were trying to make things hard for me just by making me see two bodies and sending two guys at me sometimes. Sometimes I couldn't get an attempt up, even if I was trying to force it. They did a good job tonight defensively and even when I was trying to find guys, they were getting deflections just because it was a crowd. They were making me play in a crowd. I thought they were successful at that in this first game."
176232,0,STEPHEN CURRY,player,WCF,2022,61,POSITIVE,"Highly enthusiastic: 'Amazing', 'it's special, special'","Amazing fan interaction. That's how it's supposed to be. He's been playing amazing. Making his impact felt on both ends of the floor. When you get your home crowd appreciating the input from everybody and making them nervous at the free-throw line, it's special, special. The way he came back, the way we all came back, and fought to the end."
149651,1,DAMIAN LILLARD,player,WCF,2019,183,NEGATIVE,"Identifying loss causes: turnovers 'a huge problem', 'lost by 20'","I think, , it's some adjustments we'll make in our pick-and-roll coverages, trying to not let those guys get as many clean looks as they did. I think it's easy to look at the game, look at the final score, losing by 20 and everything. Seemed like we got blown out of the water. Going into the fourth, tt was a six-point game. We had our opportunities with the way we turned the ball over and turnovers. They scored over 30 points off our turnovers. That was a huge problem. Offensively, just taking advantage of the weak side. , when they send doubles into the post and into the pick-and-rolls, making them pay for those things. So going over those. The things we want to do to go against that, to make them pay for all the attention they're giving guys. On the defensive end, , the pick-and-roll coverages, how we defend things off the ball with all the screens they're coming off of. Just trying to clean those things up and go into the next game with a better plan, I guess."
129825,4,JONATHON SIMMONS,player,WCF,2017,32,NEUTRAL,"Off-topic: discussing social media habits, no game sentiment","No, I turn phones off. I don't like people bothering me. People pretty much know that, so it's not that crazy for me. That's all social media. FastScripts Transcript by ASAP Sports"
